year,state,district,rainfall_mm,temperature_C,humidity_pct,soil_N_kg_ha,soil_P_kg_ha,soil_K_kg_ha,soil_pH,crop,yield_kg_ha
2023,Tamil Nadu,Tamil_D29,1455.8,22.74,89.1,72.6,12.9,35.5,6.79,Jute,
2024,Chhattisgarh,Chhattisgarh_D7,1204.5,27.44,70.0,156.2,,30.1,5.69,Pulses,3003.9
2022,Kerala,Kerala_D71,1037.2,20.57,81.5,23.5,22.6,,6.4,Cotton,2427.9
2024,Tamil Nadu,Tamil_D63,935.3,27.91,,125.2,38.3,44.6,,Jute,3458.1
2024,Karnataka,Karnataka_D58,1697.5,34.9,,46.6,8.4,87.0,7.09,Sugarcane,79364.3
2021,Bihar,Bihar_D36,1077.8,24.77,86.5,101.6,59.0,11.6,6.4,Millets,3800.1
2022,Chhattisgarh,Chhattisgarh_D27,803.2,26.03,63.0,123.3,26.1,32.6,6.69,Jute,3743.8
2022,Bihar,Bihar_D140,575.4,30.47,69.2,41.9,0.0,24.3,6.72,Pulses,2458.0
2022,Uttar Pradesh,Uttar_D23,1203.0,27.18,71.0,52.5,46.1,0.0,5.5,Wheat,4756.3
2024,Andhra Pradesh,Andhra_D109,1294.5,31.89,57.3,96.8,59.9,1.7,5.92,Jute,3256.8
2023,Telangana,Telangana_D9,922.6,28.57,52.6,33.2,31.5,32.2,7.79,Groundnut,2679.1
2022,Gujarat,Gujarat_D8,,30.5,50.6,,41.8,45.3,7.55,Jute,2966.3
2024,Assam,Assam_D24,1432.0,19.09,,83.4,18.1,47.2,6.23,Groundnut,3509.9
2021,Chhattisgarh,Chhattisgarh_D56,545.0,27.37,67.9,95.8,0.0,55.4,5.91,Oilseeds,2836.7
2023,Uttar Pradesh,Uttar_D60,1687.8,22.57,74.6,46.3,38.9,7.1,,Millets,3551.2
2021,Gujarat,Gujarat_D130,606.2,,51.1,44.0,30.3,21.7,8.39,Maize,2997.9
2023,Karnataka,Karnataka_D7,388.7,28.73,70.8,16.8,45.6,68.0,6.3,Groundnut,3165.4
2024,Tamil Nadu,Tamil_D144,439.9,26.08,,92.3,15.6,72.5,6.96,Millets,3004.0
2020,Kerala,Kerala_D51,456.1,23.86,83.9,25.6,23.7,69.4,6.29,Maize,
2023,Jharkhand,Jharkhand_D140,805.4,32.02,62.4,65.5,28.2,47.9,7.01,Jute,3104.1
2021,Jharkhand,Jharkhand_D108,712.7,31.03,93.8,114.6,37.9,0.0,5.48,Pulses,2448.9
2024,Tamil Nadu,Tamil_D57,1309.9,21.51,81.4,164.0,8.2,,6.01,Maize,4791.0
2023,Punjab,Punjab_D115,1252.8,30.05,65.0,95.2,40.9,,6.65,Maize,4692.4
2020,Punjab,Punjab_D72,810.6,27.68,61.8,84.2,21.6,63.6,7.31,Millets,3064.1
2020,Odisha,Odisha_D2,2141.4,27.94,83.3,19.7,4.7,,6.11,Pulses,2855.1
2022,Uttar Pradesh,Uttar_D41,805.3,33.22,65.0,58.7,17.7,43.2,6.24,Jute,2956.9
2022,Telangana,Telangana_D109,858.6,27.62,70.6,60.5,19.0,16.1,,Maize,4285.7
2021,Bihar,Bihar_D88,389.0,29.86,,,39.0,,7.02,Rice,3332.3
2023,Punjab,Punjab_D72,867.8,27.86,61.7,65.2,31.4,7.8,6.39,Millets,3340.8
2023,Chhattisgarh,Chhattisgarh_D40,,27.88,51.7,173.1,57.1,,5.76,Wheat,4590.0
2022,Madhya Pradesh,Madhya_D56,426.3,23.3,90.5,102.5,17.4,23.0,7.39,Jute,3314.6
2023,Tamil Nadu,Tamil_D87,700.5,36.82,,113.1,38.3,0.0,5.49,Oilseeds,1863.1
2023,Telangana,Telangana_D27,1030.8,14.7,72.0,102.5,18.0,17.8,7.22,Rice,2408.1
2020,Kerala,Kerala_D24,690.1,24.1,77.4,35.3,18.4,0.0,5.71,Cotton,2214.8
2022,Assam,Assam_D98,606.3,25.04,90.4,54.5,21.9,9.8,6.02,Sugarcane,73768.8
2024,Telangana,Telangana_D25,1212.9,30.63,61.6,58.2,17.4,7.5,5.86,Oilseeds,2825.3
2022,Kerala,Kerala_D92,387.2,21.36,35.5,133.6,39.8,82.5,7.05,Jute,3374.2
2024,Odisha,Odisha_D89,464.8,26.3,71.4,125.2,43.5,0.0,6.68,Pulses,2654.7
2020,Kerala,Kerala_D68,971.0,30.15,77.5,94.4,10.2,,6.09,Sugarcane,71653.4
2021,Uttar Pradesh,Uttar_D12,1238.5,22.13,61.9,90.4,1.5,52.4,7.38,Groundnut,3669.2
2023,Jharkhand,Jharkhand_D118,1022.2,26.45,78.2,110.3,45.3,34.3,5.81,Cotton,2613.3
2020,Odisha,Odisha_D138,810.4,26.33,,12.6,41.1,61.7,5.11,Oilseeds,2763.6
2023,Tamil Nadu,Tamil_D32,777.8,24.61,64.7,,61.5,24.8,5.6,Wheat,4632.9
2021,West Bengal,West_D97,1304.2,27.15,89.9,12.7,20.0,44.4,6.2,Cotton,2514.7
